Time (s),Speed (m/s),Acceleration (m/s²),Distance (m),Power Demand (kW),Battery SOC,Battery Voltage (V),Battery Current (A),Battery Temperature (°C),Motor Speed (rpm),Motor Torque (Nm),Motor Efficiency (%)
50.0,30.0,0.0,1365.0,16.536150000000003,0.9,400.0,41.340375,25.0,0.0,0.0,0.0
51.0,27.0,-3.0,1392.0,-148.93864065,0.9,400.0,-372.34660162499995,25.0,0.0,0.0,0.0
52.0,24.0,-3.0,1416.0,-133.83832320000002,0.9,400.0,-334.59580800000003,25.0,0.0,0.0,0.0
53.0,21.0,-3.0,1437.0,-118.22679855000001,0.9,400.0,-295.56699637500003,25.0,0.0,0.0,0.0
54.0,18.0,-3.0,1455.0,-102.1679676,0.9,400.0,-255.41991900000002,25.0,0.0,0.0,0.0
55.0,15.0,-3.0,1470.0,-85.72573125,0.9,400.0,-214.314328125,25.0,0.0,0.0,0.0
56.0,12.0,-3.0,1482.0,-68.96399040000001,0.9,400.0,-172.40997600000003,25.0,0.0,0.0,0.0
57.0,9.0,-3.0,1491.0,-51.94664595,0.9,400.0,-129.86661487499998,25.0,0.0,0.0,0.0
58.0,6.0,-3.0,1497.0,-34.7375988,0.9,400.0,-86.843997,25.0,0.0,0.0,0.0
59.0,3.0,-3.0,1500.0,-17.40074985,0.9,400.0,-43.501874625,25.0,0.0,0.0,0.0
60.0,0.0,-3.0,1500.0,-0.0,0.9,400.0,-0.0,25.0,0.0,0.0,0.0
61.0,0.0,0.0,1500.0,0.0,0.9,400.0,0.0,25.0,0.0,0.0,0.0
62.0,0.0,0.0,1500.0,0.0,0.9,400.0,0.0,25.0,0.0,0.0,0.0
63.0,0.0,0.0,1500.0,0.0,0.9,400.0,0.0,25.0,0.0,0.0,0.0
64.0,0.0,0.0,1500.0,0.0,0.9,400.0,0.0,25.0,0.0,0.0,0.0
65.0,0.0,0.0,1500.0,0.0,0.9,400.0,0.0,25.0,0.0,0.0,0.0
66.0,0.0,0.0,1500.0,0.0,0.9,400.0,0.0,25.0,0.0,0.0,0.0
67.0,0.0,0.0,1500.0,0.0,0.9,400.0,0.0,25.0,0.0,0.0,0.0
68.0,0.0,0.0,1500.0,0.0,0.9,400.0,0.0,25.0,0.0,0.0,0.0
69.0,0.0,0.0,1500.0,0.0,0.9,400.0,0.0,25.0,0.0,0.0,0.0
